date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2015-03-25,12776.003,12841.903,12757.095,12656.523,333240448,-44.107,-0.34,12757.095,12757.095,12757.095,333240448,333240448,333240448
2015-03-26,12703.346,12856.213,12712.979,12601.749,307857600,-44.116,-0.35,12735.037,12735.037,12735.037,320549024,320549024,320549024
2015-03-27,12779.326,12930.241,12874.424,12717.431,236975840,161.445,1.27,12781.499,12781.499,12781.499,292691296,292691296,292691296
2015-03-30,12917.136,13242.306,13193.316,12894.494,298051200,318.892,2.48,12884.454,12884.454,12884.454,294031272,294031272,294031272
2015-03-31,13420.923,13538.287,13160.664,13106.969,317728608,-32.652,-0.25,12939.696,12939.696,12939.696,298770739.2,298770739.2,298770739.2
2015-04-01,13187.422,13454.812,13394.725,13142.401,287875616,234.061,1.78,13067.222,13015.534,13015.534,289697772.8,296954885.33,296954885.33
2015-04-02,13486.895,13537.38,13426.1,13235.279,321767136,31.375,0.23,13209.846,13074.186,13074.186,292479680,300499492.57,300499492.57
2015-04-03,13336.866,13502.467,13494.641,13296.945,326233568,68.541,0.51,13333.889,13126.743,13126.743,310331225.6,303716252,303716252
2015-04-07,13626.621,13769.763,13768.728,13625.26,344476960,274.087,2.03,13448.972,13198.075,13198.075,319616377.6,308245219.56,308245219.56
2015-04-08,13814.979,13846.55,13841.717,13513.145,361429216,72.989,0.53,13585.182,13262.439,13262.439,328356499.2,313563619.2,313563619.2
2015-04-09,13898.493,13914.007,13796.733,13505.852,346150560,-44.984,-0.33,13665.584,13366.403,13311.011,340011488,314854630.4,316526068.36
2015-04-10,13718.925,14034.31,14013.335,13650.324,295307904,216.602,1.57,13783.031,13496.438,13369.538,334719641.6,313599660.8,314757888
2015-04-13,14100.353,14175.356,14149.505,13972.41,332808096,136.17,0.97,13914.004,13623.946,13429.536,336034547.2,323182886.4,316146365.54
2015-04-14,14132.612,14221.506,14042.464,13920.064,326909088,-107.041,-0.76,13968.751,13708.861,13473.316,332520972.8,326068675.2,316915131.43
2015-04-15,14023.402,14023.402,13646.607,13646.607,311574176,-395.857,-2.82,13929.729,13757.456,13484.869,322549964.8,325453232,316559067.73
2015-04-16,13549.873,14024.677,13967.802,13492.766,259650096,321.195,2.35,13963.943,13814.763,13515.052,305249872,322630680,313002257
2015-04-17,14120.773,14249.468,14149.342,14039.036,334301248,181.54,1.3,13991.144,13887.087,13552.363,313048540.8,323884091.2,314255138.82
2015-04-20,14132.829,14288.325,13871.599,13814.961,370369408,-277.743,-1.96,13935.563,13924.783,13570.099,320560803.2,328297675.2,317372598.22
2015-04-21,13882.436,14438.995,14438.995,13882.436,309272608,567.396,4.09,14014.869,13991.81,13615.83,317033507.2,324777240,316946282.95
2015-04-22,14529.244,14756.152,14749.133,14510.934,363904288,310.138,2.15,14235.374,14082.552,13672.495,327499529.6,325024747.2,319294183.2
2015-04-23,14842.205,14893.01,14743.217,14647.138,378663776,-5.916,-0.04,14390.457,14177.2,13771.801,351302265.6,328276068.8,321565349.6
2015-04-24,14615.535,14771.287,14598.695,14422.537,353165952,-144.522,-0.98,14480.328,14235.736,13866.087,355075206.4,334061873.6,323830767.2
2015-04-27,14749.024,14910.313,14809.424,14644.007,345252672,210.729,1.44,14667.893,14301.728,13962.837,350051859.2,335306331.2,329244608.8
2015-04-28,14946.95,14979.81,14707.245,14580.422,333952864,-102.179,-0.69,14721.543,14368.206,14038.534,354987910.4,336010708.8,331039692
2015-04-29,14669.217,14907.957,14871.952,14542.321,272506016,164.707,1.12,14746.107,14490.74,14124.098,336708256,332103892.8,328778562.4
2015-04-30,14909.06,15009.729,14818.64,14818.64,276318720,-53.312,-0.36,14761.191,14575.824,14195.294,316239244.8,333770755.2,328200717.6
2015-05-04,14846.478,14958.791,14860.53,14714.912,264061792,41.89,0.28,14813.558,14646.943,14267.015,298418412.8,326746809.6,325315450.4
2015-05-05,14831.905,14831.905,14233.098,14145.501,300637792,-627.432,-4.22,14698.293,14683.093,14303.938,289495436.8,319773648,324035661.6
2015-05-06,14347.55,14569.645,14136.166,14032.021,266597216,-96.932,-0.68,14584.077,14652.81,14322.31,276024307.2,315506108.8,320141674.4
2015-05-07,14080.355,14226.08,14114.728,14027.603,226513296,-21.438,-0.15,14432.632,14589.37,14335.961,266825763.2,301767009.6,313395878.4
2015-05-08,14271.461,14481.438,14481.249,14165.07,254235472,366.521,2.6,14365.154,14563.173,14370.186,262409113.6,289324179.2,308800124
2015-05-11,14572.815,14946.651,14944.883,14447.781,317394176,463.634,3.2,14382.025,14597.792,14416.764,273075590.4,285747001.6,309904437.6
2015-05-12,14975.226,15088.96,15066.289,14879.597,334000960,121.406,0.81,14548.663,14623.478,14462.603,279748224,284621830.4,309964080.8
2015-05-13,15075.024,15245.813,15173.092,14962.377,347022208,106.803,0.71,14756.048,14670.063,14519.134,295833222.4,285928764.8,310969736.8
2015-05-14,15210.753,15299.794,15024.468,15003.723,337960224,-148.624,-0.98,14937.996,14685.314,14588.027,318122608,292474185.6,312289039.2
2015-05-15,14955.411,14955.411,14694.947,14590.757,311171360,-329.521,-2.19,14980.736,14672.945,14624.385,329509785.6,295959449.6,314865102.4
2015-05-18,14612.884,14759.086,14672.632,14564.733,295493120,-22.315,-0.15,14926.286,14654.155,14650.549,325129574.4,299102582.4,312924696
2015-05-19,14723.214,15173.919,15127.376,14704.328,318039840,454.744,3.1,14938.503,14743.583,14713.338,321937350.4,300842787.2,310308217.6
2015-05-20,15206.559,15618.128,15337.083,15206.559,379613280,209.707,1.39,14971.301,14863.675,14758.242,328455564.8,312144393.6,313825251.2
2015-05-21,15402.948,15872.588,15872.534,15402.948,355766464,535.451,3.49,15140.914,15039.455,14814.412,332016812.8,325069710.4,313418360
2015-05-22,16084.038,16191.152,16045.797,15731.01,436129056,173.263,1.09,15411.084,15195.91,14879.541,357008352,343259068.8,316291624
2015-05-25,15894.14,16368.908,16351.056,15810.149,421405376,305.259,1.9,15746.769,15336.527,14967.159,382190803.2,353660188.8,319703595.2
2015-05-26,16456.23,16904.146,16903.471,16397.504,446921472,552.415,3.38,16101.988,15520.246,15071.862,407967129.6,364952240,324787035.2
2015-05-27,16988.904,17061.918,16963.521,16610.779,444795232,60.051,0.35,16427.276,15699.289,15184.676,421003520,374729542.4,330329153.6
2015-05-28,16953.604,17153.803,15912.947,15909.101,522049632,-1050.575,-6.19,16435.358,15788.136,15236.725,454260153.6,393138483.2,342806334.4
2015-05-29,15920.326,16386.055,16100.448,15299.647,412437248,187.501,1.18,16446.289,15928.687,15300.816,449521792,403265072,349612260.8
2015-06-01,16247.389,16921.066,16917.525,16245.553,364798784,817.077,5.08,16559.582,16153.176,15403.666,438200473.6,410195638.4,354649110.4
2015-06-02,17051.221,17485.578,17485.578,16963.738,396498432,568.053,3.36,16676.004,16388.996,15566.289,428115865.6,418041497.6,359442142.4
2015-06-03,17626.916,17696.477,17538.504,17098.432,407201728,52.925,0.3,16791,16609.138,15736.406,420597164.8,420800342.4,366472368
2015-06-04,17579.357,17608.725,17501.053,16426.312,401600064,-37.451,-0.21,17108.622,16771.99,15905.723,396507251.2,425383702.4,375226706.4
2015-06-05,17727.859,17901.863,17649.086,17302.555,444202400,148.034,0.85,17418.349,16932.319,16064.114,402860281.6,426191036.8,384725052.8
2015-06-08,17648.723,17648.723,17452.309,17145.697,420823904,-196.778,-1.11,17525.306,17042.444,16189.486,414065305.6,426132889.6,389896539.2
2015-06-09,17410.641,17609.275,17398.996,17184.324,347168448,-53.312,-0.3,17507.99,17091.997,16306.121,404199308.8,416157587.2,390554913.6
