date,open,high,low,close,volume,cma,y
 2007/01/04,2728.19,2847.61,2684.82,2715.72,135343648,2664.5,1
 2007/01/05,2668.58,2685.8,2617.02,2641.33,116636656,2705.8128571429,1
 2007/01/08,2621.07,2708.44,2620.63,2707.2,115452128,2734.7442857143,1
 2007/01/09,2711.05,2809.39,2691.36,2807.8,120139776,2733.6928571429,1
 2007/01/10,2838.11,2841.74,2770.99,2825.58,120609680,2744.9757142857,1
 2007/01/11,2819.37,2841.18,2763.89,2770.11,129311904,2770.6457142857,1
 2007/01/12,2745.32,2782.02,2652.58,2668.11,115652488,2780.8885714286,1
 2007/01/15,2660.07,2795.33,2658.88,2794.7,100422384,2773.6285714286,1
 2007/01/16,2818.66,2830.8,2757.21,2821.02,118180640,2774.5757142857,1
 2007/01/17,2828.4,2870.42,2742.59,2778.9,136587024,2797.8728571429,1
 2007/01/18,2760.94,2784.04,2679.71,2756.98,122258656,2838.02,1
 2007/01/19,2761.89,2833.45,2761.89,2832.21,131951296,2863.7957142857,1
 2007/01/22,2857.9,2934.65,2857.9,2933.19,149619536,2868.9871428572,1
 2007/01/23,2964.69,2970.69,2851.92,2949.14,152320768,2883.7957142857,-1
 2007/01/24,2955.42,2994.28,2927.72,2975.13,130427896,2910.6928571429,-1
 2007/01/25,2946.5,2947.15,2853.82,2857.36,125886328,2924.7428571429,-1
 2007/01/26,2805.96,2905.98,2720.83,2882.56,118801144,2903.7628571429,-1
 2007/01/29,2897.25,2954.34,2885.86,2945.26,122395752,2880.3757142857,-1
 2007/01/30,2959.4,2980.51,2901.76,2930.56,122196848,2837.2442857143,-1
 2007/01/31,2926.07,2929.65,2766.75,2786.33,124171104,2802.27,-1
 2007/02/01,2744.81,2801.69,2706.29,2785.43,101361248,2772.7185714286,-1
 2007/02/02,2791.49,2796.44,2666.86,2673.21,92265088,2739.9928571429,-1
 2007/02/05,2658.07,2672.35,2610.33,2612.54,75017568,2712.4457142857,1
 2007/02/06,2612.84,2677.04,2541.52,2675.7,95016560,2704.4542857143,1
 2007/02/07,2688.96,2745.39,2681.33,2716.18,103915712,2707.56,1
 2007/02/08,2725.14,2751.16,2691.27,2737.73,93184168,2730.2257142857,1
 2007/02/09,2741.48,2747.94,2704.36,2730.39,85831144,2772.0185714286,1
 2007/02/12,2729.84,2807.51,2728.78,2807.17,85771240,2817.3485714286,1
 2007/02/13,2819.14,2835.09,2801.31,2831.87,84208528,2857.6757142857,1
 2007/02/14,2836.82,2915.06,2823.38,2905.09,101364736,2900.9428571429,1
 2007/02/15,2923.67,2994.62,2923.67,2993.01,119152640,2906.8571428572,-1
 2007/02/16,3018.18,3036.35,2975.83,2998.47,128264320,2917.4142857143,-1
 2007/02/26,2999.09,3041.34,2960.75,3040.6,120384864,2912.46,-1
 2007/02/27,3048.83,3049.77,2763.4,2771.79,174726544,2901.9514285714,-1
 2007/02/28,2734.59,2888.9,2732.88,2881.07,130789416,2872.28,-1
 2007/03/01,2877.2,2878.35,2760.91,2797.19,133871368,2849.6671428572,1
 2007/03/02,2792.94,2846.16,2777.8,2831.53,99136696,2829.0942857143,1
 2007/03/05,2827.68,2858.44,2723.06,2785.31,115036904,2851.4114285714,1
 2007/03/06,2776.17,2866.33,2756.96,2840.18,82630784,2859.5314285714,1
 2007/03/07,2851.75,2911.42,2849.65,2896.59,94891032,2882.0628571429,1
 2007/03/08,2904.19,2928.8,2871.46,2928.01,94524432,2901.1,1
 2007/03/09,2934.49,2962.42,2891.81,2937.91,114379752,2918.3885714286,1
 2007/03/12,2945.92,2958.63,2904.74,2954.91,107483464,2934.32,1
 2007/03/13,2958.1,2966.19,2932.23,2964.79,112430896,2939.1614285714,1
 2007/03/14,2933.68,2934.45,2868.81,2906.33,119796928,2951.5085714286,1
 2007/03/15,2905.98,2955.46,2905.98,2951.7,111138128,2964.9785714286,1
 2007/03/16,2964.09,2979.71,2899.03,2930.48,131176688,2979.6171428572,1
 2007/03/19,2864.26,3038,2852.86,3014.44,118317592,2994.8228571429,1
 2007/03/20,3024.78,3033.02,2998.8,3032.2,98048528,3018.8171428572,1
 2007/03/21,3042.1,3057.71,3020.95,3057.38,104018720,3043.2614285714,1
 2007/03/22,3080.6,3099.82,3059.38,3071.23,133498384,3073.0257142857,1
 2007/03/23,3071.81,3085.32,3008.15,3074.29,123793752,3095.68,1
 2007/03/26,3083.94,3123.18,3069.47,3122.81,128004080,3119.3,1
 2007/03/27,3126.02,3145.04,3103.78,3138.83,130171720,3137.3857142857,1
 2007/03/28,3140.68,3180.33,3052.08,3173.02,176485104,3163.2942857143,1
 2007/03/29,3179.8,3273.73,3176.53,3197.54,159332608,3194.2957142857,1
 2007/03/30,3178.5,3212.39,3157.03,3183.98,96053208,3218.4,1
 2007/04/02,3196.59,3253.44,3196.59,3252.59,108277032,3244.1585714286,1
 2007/04/03,3265.68,3292.58,3251.52,3291.3,122608904,3265.6671428572,1
 2007/04/04,3295.98,3308.15,3266.56,3291.54,130668288,3294.44,1
 2007/04/05,3286.16,3326.92,3259.63,3319.14,124487240,3331.6271428572,1
